USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
590,Oro,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
314,Oro,CALI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
64,Oro,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,aventurero
347,Oro,BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,explorador
88,Bronce,MEDELLIN,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
47,Bronce,VILLAVICENCIO,META,COLOMBIA,LLANOS,aventurero
35,Oro,SAN GIL,SANTANDER,COLOMBIA,SANTANDERES,aventurero
181,Oro,VILLAVICENCIO,META,COLOMBIA,LLANOS,explorador
17,Oro,LA ESTRELLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Oro,NO DEFINIDA,N/A,COLOMBIA,,recien nacido
87,Oro,SOGAMOSO,BOYACA,COLOMBIA,CUNDI-BOY,explorador
63,Plata,BELLO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
4,Oro,LA CALERA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
5,Oro,ENGATIVA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
5,Plata,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
5,Oro,PUERTO SALGAR,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
91,Oro,FLORENCIA,CAQUETA,COLOMBIA,LLANOS,explorador
1,Bronce,LA VEGA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
56,Oro,GIRON,SANTANDER,COLOMBIA,SANTANDERES,explorador
20,Oro,GIRARDOTA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
4,Oro,SAN ANTONIO DE PRADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
10,Plata,FLORIDABLANCA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
51,Oro,FACATATIVA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
4,Oro,HOBO,HUILA,COLOMBIA,CENTRO,explorador
49,Oro,SANTA MARTA,MAGDALENA,COLOMBIA,ATLANTICO,aventurero
