Date,Year,Day of month,Sessions,Users,Pageviews,Avg. sessions per user,Avg. session length (min),Bounce rate,New users,Avg. time on page,Usuarios recurrentes
2018-01-01,2018,1,2300,1909,10590,"1,2","4,47","45,74",964,"73,31",945
2018-01-02,2018,2,5041,4070,27454,"1,24","5,24","36,54",2229,"70,23",1841
2018-01-03,2018,3,5120,4108,30168,"1,25","5,64","36,05",2274,"68,5",1834
2018-01-04,2018,4,4558,3628,27454,"1,26",6,"35,63",1975,"70,98",1653
2018-01-05,2018,5,4440,3497,26222,"1,27","5,92","36,73",1872,"71,78",1625
2018-01-06,2018,6,3643,2941,21365,"1,24","5,91","37,28",1628,"72,25",1313
2018-01-07,2018,7,3239,2602,19889,"1,24","6,02","36,34",1513,"69,88",1089
2018-01-08,2018,8,3760,3040,23582,"1,24","6,13","36,36",1719,"69,27",1321
2018-01-09,2018,9,4626,3724,29906,"1,24","6,59","32,71",2062,"71,64",1662
2018-01-10,2018,10,4426,3515,29431,"1,26","6,79","31,16",1947,"71,86",1568
2018-01-11,2018,11,4392,3620,29468,"1,21","6,48","33,58",2044,"67,98",1576
2018-01-12,2018,12,6613,5693,33310,"1,16","4,6","42,6",3836,"68,2",1857
2018-01-13,2018,13,6617,5678,31408,"1,17","4,27","48,22",3981,"68,19",1697
2018-01-14,2018,14,5393,4733,24836,"1,14","4,18","48,28",3115,"69,48",1618
2018-01-15,2018,15,7269,6167,35710,"1,18","4,51","44,81",4147,"69,07",2020
2018-01-16,2018,16,7124,6103,34658,"1,17","4,52","45,1",4109,"69,97",1994
2018-01-17,2018,17,9235,7975,43940,"1,16","4,27","45,11",5246,"67,95",2729
2018-01-18,2018,18,9642,8170,47456,"1,18","4,28",45,5382,"65,24",2788
2018-01-19,2018,19,7933,6816,36267,"1,16","3,96","48,61",4527,"66,28",2289
2018-01-20,2018,20,6883,5972,27953,"1,15","3,52","52,04",4045,"68,69",1927
2018-01-21,2018,21,6829,5964,29236,"1,15","3,52","53,61",4174,"64,28",1790
2018-01-22,2018,22,8290,7170,38208,"1,16","4,13","47,12",4805,"68,41",2365
2018-01-23,2018,23,7984,6886,36081,"1,16","3,87","48,87",4571,"65,75",2315
2018-01-24,2018,24,8725,7461,40317,"1,17","4,08","51,45",5217,"67,58",2244
2018-01-25,2018,25,9687,8287,39662,"1,17","3,56","53,2",5743,"68,98",2544
2018-01-26,2018,26,10454,8869,41691,"1,18","3,39","51,24",5896,"67,86",2973
2018-01-27,2018,27,8032,6824,32434,"1,18","3,42","56,36",4677,"67,52",2147
2018-01-28,2018,28,7876,6856,30822,"1,15","3,21","57,81",4756,"66,01",2100
2018-01-29,2018,29,9349,7999,38871,"1,17","3,53","53,98",5292,"66,82",2707
2018-01-30,2018,30,8756,7376,36631,"1,19","3,61","53,76",4914,"67,86",2462
2018-01-31,2018,31,8828,7488,39088,"1,18","3,84","52,84",4998,"67,11",2490
2018-02-01,2018,1,4932,4067,27386,"1,21","5,37","39,88",2255,"70,53",1812
2018-02-02,2018,2,4763,3979,26448,"1,2","5,32","41,86",2229,"69,94",1750
2018-02-03,2018,3,4233,3567,25015,"1,19","5,43","41,25",2114,"66,29",1453
2018-02-04,2018,4,4216,3504,23207,"1,2","4,99","43,45",2063,"66,35",1441
2018-02-05,2018,5,5054,4190,29458,"1,21","5,44","40,4",2358,"67,5",1832
2018-02-06,2018,6,5415,4533,29835,"1,19","5,04","41,99",2724,"66,94",1809
2018-02-07,2018,7,6387,5315,37115,"1,2","5,08","38,94",3287,"63,25",2028
2018-02-08,2018,8,8503,7190,42077,"1,18","4,47","45,91",4731,"67,67",2459
2018-02-09,2018,9,9398,7933,41891,"1,18","3,83","49,44",5426,"66,38",2507
2018-02-10,2018,10,7585,6376,34864,"1,19","3,86","49,65",4294,"64,25",2082
2018-02-11,2018,11,7753,6748,32925,"1,15","3,51","52,19",4586,"64,83",2162
2018-02-12,2018,12,9371,7823,41199,"1,2","3,8","49,83",5186,"67,13",2637
2018-02-13,2018,13,9366,7835,40720,"1,2","3,93","50,43",5208,"70,26",2627
2018-02-14,2018,14,8980,7554,40415,"1,19","4,01","49,72",5017,"68,6",2537
2018-02-15,2018,15,9558,7947,45784,"1,2","4,19","46,81",5364,"66,08",2583
2018-02-16,2018,16,11272,9652,49127,"1,17","3,74","43,48",6082,"66,51",3570
2018-02-17,2018,17,8928,7571,38778,"1,18","3,84","47,87",4847,"68,91",2724
2018-02-18,2018,18,8309,7127,35571,"1,17","3,61","50,62",4664,"65,84",2463
2018-02-19,2018,19,10241,8529,45563,"1,2","3,88","47,5",5469,"67,2",3060
2018-02-20,2018,20,9423,7976,39721,"1,18","3,76","50,29",5157,"70,1",2819
2018-02-21,2018,21,9339,7819,41553,"1,19","3,97","48,17",5085,"68,89",2734
2018-02-22,2018,22,8742,7305,39225,"1,2","4,15","49,65",4721,"71,09",2584
2018-02-23,2018,23,8674,7316,38152,"1,19","3,72","48,88",4747,"65,53",2569
2018-02-24,2018,24,7384,6232,31762,"1,18","3,62","49,99",4033,"65,72",2199
2018-02-25,2018,25,7294,6184,31179,"1,18","3,63","52,06",4082,"66,3",2102
2018-02-26,2018,26,8386,7010,39367,"1,2","4,2","46,43",4520,"68,16",2490
2018-02-27,2018,27,10262,8724,44219,"1,18","3,82","44,44",5477,"69,11",3247
2018-02-28,2018,28,9177,7571,42147,"1,21","4,15","45,01",4816,"69,12",2755
2018-03-01,2018,1,10321,8883,42832,"1,16","3,83","39,49",5825,"72,73",3058
2018-03-02,2018,2,8477,7224,36095,"1,17","4,01","46,67",4461,"73,69",2763
2018-03-03,2018,3,7403,6278,32831,"1,18","3,95","50,17",3966,"68,91",2312
2018-03-04,2018,4,7094,6052,31124,"1,17","3,74","51,82",3878,"66,11",2174
2018-03-05,2018,5,8286,6985,38044,"1,19","4,05","46,61",4386,"67,58",2599
2018-03-06,2018,6,8851,7530,40397,"1,18","4,1","47,38",4845,"68,92",2685
2018-03-07,2018,7,9282,7881,40222,"1,18","3,89","50,9",5346,"69,83",2535
