ID,CIUDAD,DEPARTAMENTO,PAIS,FECHA_PRIMER_CONTACTO,DISTRITO,ETAPA_BEBE,HIJOS
4221,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-08-30,ANTIOQUIA,N/A,0
462427,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-03-30,ATLANTICO,aventurero,1
385869,RIONEGRO,ANTIOQUIA,COLOMBIA,2017-11-25,ANTIOQUIA,aventurero,1
696922,SINCELEJO,SUCRE,COLOMBIA,2017-06-27,ATLANTICO,aventurero,1
702683,TUQUERRES,NARI?O,COLOMBIA,2018-06-21,PACIFICO,aventurero,1
298010,MEDELLIN,ANTIOQUIA,COLOMBIA,2019-08-17,ANTIOQUIA,N/A,0
171853,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-05-10,ANTIOQUIA,aventurero,1
263333,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-03-17,ANTIOQUIA,36 o mayor,1
307330,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-06-11,ANTIOQUIA,explorador,1
418171,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-04-17,ANTIOQUIA,aventurero,1
465973,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-03-05,CUNDI-BOY,acostadito,1
44254,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-03-16,ANTIOQUIA,36 o mayor,1
261375,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2018-05-15,CUNDI-BOY,explorador,1
132254,BELLO,ANTIOQUIA,COLOMBIA,2018-04-02,ANTIOQUIA,36 o mayor,1
162770,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-07-10,ANTIOQUIA,N/A,0
53735,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-02-24,CUNDI-BOY,36 o mayor,1
354133,IBAGUE,TOLIMA,COLOMBIA,2017-04-26,CENTRO,N/A,0
234097,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-03-04,ATLANTICO,N/A,0
304898,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-05-11,CUNDI-BOY,aventurero,1
387018,GIRON,SANTANDER,COLOMBIA,2017-02-28,SANTANDERES,N/A,0
50778,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-02-21,ANTIOQUIA,aventurero,1
444258,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-11-23,CUNDI-BOY,N/A,0
